Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
461,Ben Sheppard,22,IND,SG,57,1,814,90,229,0.393,49,156,0.314,41,73,0.562,0.5,23,26,0.885,15,74,89,53,33,2,15,88,252,8.1,0.524,0.681,0.114,2.1,10.3,6.2,7.5,1.9,0.2,5.9,13.2,0.3,0.4,0.8,0.046,-3.3,-0.1,-3.4,-0.3
462,Pascal Siakam,29,2TM,PF,80,80,2657,681,1271,0.536,85,246,0.346,596,1025,0.581,0.569,290,396,0.732,139,426,565,342,63,25,141,193,1737,19.7,0.601,0.194,0.312,5.8,18.1,11.9,19.4,1.1,0.8,8.9,25.3,5.4,1.5,6.9,0.124,2.6,-0.7,1.9,2.7
463,Ben Simmons,27,BRK,PG,15,12,359,43,74,0.581,0,0,,43,74,0.581,0.581,6,15,0.4,31,88,119,86,12,9,27,36,92,16.3,0.571,0,0.203,9.2,27.6,18.1,33.2,1.7,2.3,25.1,13,0.5,0.5,1,0.133,-0.5,2.9,2.4,0.4
464,Kobi Simmons,26,TOR,PG,4,0,67,9,21,0.429,2,8,0.25,7,13,0.538,0.476,0,0,,1,6,7,12,6,2,1,5,20,14.5,0.476,0.381,0,1.6,10.1,5.7,24.2,4.3,2.6,4.5,14,0.1,0.1,0.1,0.098,-2.6,1.6,-1,0
465,Anfernee Simons,24,POR,SG,46,46,1582,360,837,0.43,156,405,0.385,204,432,0.472,0.523,163,178,0.916,22,145,167,255,23,5,126,98,1039,15.9,0.568,0.484,0.213,1.5,10.9,5.9,27.6,0.7,0.3,12.1,28,1.7,0.5,2.2,0.068,2.7,-2.5,0.2,0.8
466,Zavier Simpson,26,MEM,PG,7,0,161,17,54,0.315,5,17,0.294,12,37,0.324,0.361,3,4,0.75,4,16,20,25,7,3,10,11,42,6.3,0.377,0.315,0.074,2.6,11.3,6.8,22.5,2.1,1.7,15.2,17.5,-0.3,0.2,-0.2,-0.046,-6.2,0.3,-5.9,-0.2
467,Jericho Sims,25,NYK,C,45,11,585,38,55,0.691,0,0,,38,55,0.691,0.691,16,24,0.667,56,91,147,25,8,19,16,45,92,10.9,0.702,0,0.436,10.7,17.5,14.1,5.4,0.7,3,19.6,6,0.9,0.7,1.5,0.127,-2.4,0.7,-1.8,0
468,Dmytro Skapintsev,25,NYK,C,2,0,2,0,1,0,0,0,,0,1,0,0,0,0,,0,0,0,0,0,0,0,0,0,-19.3,0,0,0,0,0,0,0,0,0,0,21.6,0,0,0,-0.483,-16,-9.8,-25.9,0
469,Jalen Slawson,24,SAC,SF,12,0,37,4,6,0.667,0,2,0,4,4,1,0.667,0,0,,1,6,7,2,1,1,2,8,8,6.6,0.667,0.333,0,3,18.6,10.6,6.9,1.3,2.5,25,9.2,0,0,0,0.058,-7.5,1.1,-6.4,0
470,Javonte Smart,24,PHI,PG,1,0,1,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,,0,0,0,0,0.005,-6.2,-2.1,-8.3,0
471,Marcus Smart,29,MEM,PG,20,20,605,102,237,0.43,42,134,0.313,60,103,0.583,0.519,43,56,0.768,6,47,53,86,41,5,62,53,289,11.8,0.552,0.565,0.236,1,8.9,4.8,22.7,3.3,0.8,19.2,22.9,-0.5,0.7,0.2,0.02,-3.3,0.9,-2.4,0
472,Dennis Smith Jr.,26,BRK,PG,56,2,1059,147,338,0.435,32,109,0.294,115,229,0.502,0.482,43,58,0.741,50,114,164,203,68,12,68,121,369,13.4,0.508,0.322,0.172,5,12.1,8.5,27.3,3.2,1,15.8,17.7,0.5,1.3,1.8,0.08,-2.6,1.8,-0.8,0.3
473,Dru Smith,26,MIA,SG,9,0,131,15,33,0.455,7,17,0.412,8,16,0.5,0.561,2,2,1,6,8,14,14,9,3,5,12,39,12.8,0.576,0.515,0.061,5.1,7,6.1,15,3.4,2.2,12.9,13.2,0.1,0.2,0.3,0.125,-1.8,3.2,1.4,0.1
474,Ish Smith,35,CHO,PG,43,5,741,66,158,0.418,4,8,0.5,62,150,0.413,0.43,3,4,0.75,11,65,76,145,17,4,47,49,139,6.8,0.435,0.051,0.025,1.6,10.2,5.8,26.4,1.1,0.5,22.7,12.3,-0.5,0.2,-0.4,-0.025,-5.6,-1.2,-6.8,-0.9
475,Jabari Smith Jr.,20,HOU,PF,76,76,2424,378,833,0.454,138,380,0.363,240,453,0.53,0.537,150,185,0.811,139,477,616,121,52,61,89,200,1044,13.8,0.571,0.456,0.222,6.1,21.3,13.6,7.1,1,2.3,8.9,17.6,2.4,3.2,5.6,0.111,-0.5,0.1,-0.4,1
476,Jalen Smith,23,IND,C,61,14,1047,234,395,0.592,61,144,0.424,173,251,0.689,0.67,72,104,0.692,112,225,337,63,17,38,44,124,601,20.7,0.682,0.365,0.263,12.1,24.3,18.2,8,0.8,2.9,9.1,19.4,3.1,0.9,4,0.182,3.2,-0.8,2.4,1.2
477,Nick Smith Jr.,19,CHO,SG,51,0,729,113,289,0.391,63,146,0.432,50,143,0.35,0.5,13,15,0.867,18,54,72,59,10,7,39,55,302,8.1,0.511,0.505,0.052,2.7,8.6,5.5,12,0.7,0.9,11.7,20.3,-0.6,0.1,-0.5,-0.036,-3.1,-2.8,-5.9,-0.7
