Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
478,Terquavion Smith,21,PHI,PG,16,0,84,18,46,0.391,13,35,0.371,5,11,0.455,0.533,3,5,0.6,0,4,4,12,8,0,7,8,52,14.8,0.539,0.761,0.109,0,5.4,2.6,22.1,4.7,0,12.7,28.4,0,0.1,0.1,0.05,0.3,0.5,0.8,0.1
479,Jeremy Sochan,20,SAS,PF,74,73,2193,340,776,0.438,70,227,0.308,270,549,0.492,0.483,111,144,0.771,137,339,476,249,62,40,140,168,861,11.4,0.513,0.293,0.186,6.7,16.9,11.7,16,1.3,1.5,14.3,18.8,-0.5,1.9,1.4,0.03,-2.8,-0.6,-3.4,-0.8
480,Pat Spencer,27,GSW,PG,6,0,26,2,4,0.5,0,2,0,2,2,1,0.5,0,0,,2,2,4,5,0,0,1,1,4,9.4,0.5,0.5,0,8.4,8.2,8.3,23.3,0,0,20,8.1,0,0,0,0.084,-3.4,-3.1,-6.4,0
481,Jaden Springer,21,2TM,SG,49,2,507,59,148,0.399,10,48,0.208,49,100,0.49,0.432,35,42,0.833,33,45,78,44,36,15,34,66,163,10.7,0.49,0.324,0.284,7.1,9.8,8.4,11.5,3.5,2.7,17,17.1,-0.3,0.8,0.6,0.052,-4.9,1.5,-3.4,-0.2
482,Lamar Stevens,26,2TM,PF,38,3,559,108,240,0.45,14,46,0.304,94,194,0.485,0.479,42,54,0.778,36,91,127,28,23,22,24,45,272,14.6,0.516,0.192,0.225,6.9,18.2,12.4,7.9,2,3.6,8.3,22.2,0,0.8,0.8,0.068,-2.2,-0.1,-2.2,0
483,Isaiah Stewart,22,DET,PF,46,45,1423,186,382,0.487,67,175,0.383,119,207,0.575,0.575,64,85,0.753,74,231,305,73,17,38,66,99,503,11.3,0.6,0.458,0.223,5.7,18.4,11.9,7.1,0.6,2.3,13.6,14.5,0.9,0.8,1.7,0.056,-1.6,-0.7,-2.3,-0.1
484,Julian Strawther,21,DEN,SF,50,0,545,82,222,0.369,41,138,0.297,41,84,0.488,0.462,22,31,0.71,5,56,61,47,17,7,23,54,227,8.2,0.482,0.622,0.14,1,11.1,6.2,11.3,1.5,1.1,8.9,20.7,-0.4,0.6,0.2,0.015,-4.6,-1.4,-6,-0.6
485,Max Strus,27,CLE,SF,70,70,2239,304,728,0.418,168,479,0.351,136,249,0.546,0.533,77,97,0.794,66,272,338,283,64,29,112,170,853,11.7,0.553,0.658,0.133,3.4,13.5,8.5,17.3,1.4,1.2,12.7,17.4,1.2,2.6,3.9,0.083,-1.1,0.5,-0.6,0.8
486,Jalen Suggs,22,ORL,SG,75,75,2025,336,714,0.471,153,385,0.397,183,329,0.556,0.578,118,156,0.756,48,181,229,205,106,47,132,205,943,14.1,0.602,0.539,0.218,2.8,10.6,6.6,15,2.6,2.2,14.4,19.7,1.5,3.2,4.7,0.112,-0.6,1.6,1,1.5
487,Cole Swider,24,MIA,SF,18,0,87,15,38,0.395,10,30,0.333,5,8,0.625,0.526,2,2,1,1,6,7,5,1,1,8,4,42,7.1,0.54,0.789,0.053,1.3,7.9,4.6,8.8,0.6,1.1,17.1,24,-0.2,0.1,-0.1,-0.05,-2.1,-2.4,-4.5,-0.1
488,Jae'Sean Tate,28,HOU,SF,65,9,1031,108,229,0.472,23,77,0.299,85,152,0.559,0.522,26,39,0.667,61,136,197,64,42,15,37,137,265,9.3,0.538,0.336,0.17,6.3,14.3,10.2,8.2,2,1.3,13.1,11.7,0.4,1.3,1.8,0.082,-3.7,1.5,-2.3,-0.1
489,Jayson Tatum,25,BOS,PF,74,74,2645,672,1426,0.471,229,609,0.376,443,817,0.542,0.552,414,497,0.833,67,534,601,364,75,43,188,145,1987,22.3,0.604,0.427,0.349,2.9,20.9,12.3,21,1.4,1.4,10.3,30.2,6.4,4.1,10.4,0.189,4.5,0.6,5.1,4.7
490,Terry Taylor,24,CHI,PF,31,0,188,20,39,0.513,2,9,0.222,18,30,0.6,0.538,4,5,0.8,17,20,37,10,5,2,7,17,46,10.1,0.558,0.231,0.128,9.9,12.1,11,7,1.3,1.1,14.5,11.3,0.1,0.1,0.3,0.07,-3.1,-0.1,-3.2,0
491,Garrett Temple,37,TOR,SG,27,2,289,29,78,0.372,12,40,0.3,17,38,0.447,0.449,18,22,0.818,18,27,45,28,12,3,14,28,88,9.5,0.502,0.513,0.282,6.7,10.5,8.6,12.5,2,0.9,13.8,15,0,0.2,0.2,0.032,-3.4,-1.2,-4.7,-0.2
492,Dalen Terry,21,CHI,SG,59,2,681,69,157,0.439,17,74,0.23,52,83,0.627,0.494,25,43,0.581,29,84,113,81,27,18,32,81,180,10.2,0.512,0.471,0.274,4.7,14.1,9.3,15.6,2,2.7,15.4,13.4,0.1,0.7,0.8,0.06,-3.4,1.1,-2.3,0
493,Daniel Theis,31,2TM,C,60,3,1015,156,293,0.532,26,71,0.366,130,222,0.586,0.577,38,50,0.76,85,159,244,61,21,51,42,127,376,14.4,0.597,0.242,0.171,9.8,17.1,13.6,8.3,1,4.5,11.8,15.4,1.4,1.2,2.5,0.119,-1.7,0.1,-1.6,0.1
494,Cam Thomas,22,BRK,SG,66,51,2075,526,1190,0.442,144,396,0.364,382,794,0.481,0.503,286,334,0.856,28,186,214,192,45,16,124,138,1482,16.1,0.554,0.333,0.281,1.4,10.1,5.6,15.7,1.1,0.7,8.5,30.5,1.3,1.2,2.5,0.058,0.7,-1.9,-1.2,0.4
495,Isaiah Thomas,34,PHO,PG,6,0,19,3,10,0.3,2,4,0.5,1,6,0.167,0.4,0,0,,0,0,0,3,0,0,0,0,8,6.7,0.4,0.4,0,0,0,0,21.9,0,0,0,22.8,0,0,0,-0.03,-1.6,-5.2,-6.9,0
496,Amen Thompson,21,HOU,SF,62,23,1388,239,446,0.536,8,58,0.138,231,388,0.595,0.545,106,155,0.684,148,261,409,163,78,38,90,141,592,18.2,0.576,0.13,0.348,11.3,20.4,15.8,17,2.7,2.5,14.9,18.5,1.9,2.4,4.3,0.149,-0.1,1.9,1.8,1.3
497,Ausar Thompson,21,DET,SF,63,38,1583,232,480,0.483,21,113,0.186,211,367,0.575,0.505,71,119,0.597,129,273,402,120,68,59,84,175,556,12.8,0.522,0.235,0.248,8.9,19.6,14.2,10.8,2.1,3.2,13.6,16.6,0.1,1.7,1.8,0.053,-2.8,0.6,-2.2,-0.1
498,Klay Thompson,33,GSW,SF,77,63,2284,490,1133,0.432,268,692,0.387,222,441,0.503,0.551,127,137,0.927,35,219,254,176,50,35,117,127,1375,13.9,0.576,0.611,0.121,1.7,10.2,6,11.2,1.1,1.4,8.9,24.2,1.8,1.7,3.6,0.075,1.1,-1.5,-0.4,0.9
499,Tristan Thompson,32,CLE,C,49,0,549,73,120,0.608,0,1,0,73,119,0.613,0.608,15,52,0.288,73,101,174,51,12,14,29,59,161,13.9,0.563,0.008,0.433,15.1,20.4,17.8,12.7,1.1,2.3,16.9,13.8,0.6,0.8,1.4,0.119,-2.1,0.6,-1.4,0.1
500,JT Thor,21,CHO,PF,63,3,781,80,183,0.437,28,81,0.346,52,102,0.51,0.514,11,20,0.55,43,103,146,29,11,27,15,60,199,9.1,0.519,0.443,0.109,6,15.3,10.5,5.1,0.7,3.2,7.3,11.7,0.2,0.3,0.6,0.034,-3.5,-1.1,-4.5,-0.5
72,Matisse Thybulle,26,POR,SF,65,19,1487,126,317,0.397,80,231,0.346,46,86,0.535,0.524,22,29,0.759,30,106,136,90,113,49,40,93,354,10.4,0.537,0.729,0.091,2.1,8.5,5.1,8.3,3.8,3,10.8,10.6,0.4,1.8,2.2,0.072,-2.8,3.4,0.6,0.9
71,Xavier Tillman Sr.,25,2TM,PF,54,15,974,121,279,0.434,20,81,0.247,101,198,0.51,0.47,22,50,0.44,70,141,211,77,51,44,34,75,284,12.2,0.472,0.29,0.179,7.7,16.1,11.8,11.3,2.6,4.2,10.1,14.8,-0.1,1.6,1.4,0.071,-3.1,1.9,-1.2,0.2
70,Jacob Toppin,23,NYK,SF,9,0,38,5,9,0.556,1,4,0.25,4,5,0.8,0.611,2,2,1,3,4,7,3,0,1,1,3,13,14.3,0.658,0.444,0.222,8.8,11.9,10.3,10.9,0,2.5,9.2,12.4,0.1,0,0.1,0.161,0.6,-1.3,-0.7,0
69,Obi Toppin,25,IND,PF,82,28,1730,332,579,0.573,102,253,0.403,230,326,0.706,0.661,77,100,0.77,85,235,320,128,47,43,69,143,843,16.5,0.677,0.437,0.173,5.6,15.4,10.5,9.4,1.3,2,10,16.8,3.6,1.1,4.8,0.132,1.8,-0.3,1.5,1.5
68,Juan Toscano-Anderson,30,SAC,SF,11,0,53,3,12,0.25,1,4,0.25,2,8,0.25,0.292,0,0,,4,10,14,4,1,1,2,11,7,2.5,0.292,0.333,0,8.3,21.6,14.8,9,0.9,1.7,14.3,11.3,-0.1,0.1,0,-0.024,-8.7,-0.6,-9.4,-0.1
67,Karl-Anthony Towns,28,MIN,PF,62,62,2026,479,951,0.504,136,327,0.416,343,624,0.55,0.575,255,292,0.873,94,421,515,189,43,41,177,204,1349,18.8,0.625,0.344,0.307,5.5,22.6,14.4,15.1,1,1.8,14.1,27.4,2.6,3.6,6.3,0.148,1.6,0.9,2.5,2.3
66,Gary Trent Jr.,25,TOR,SG,71,41,1994,361,847,0.426,178,453,0.393,183,394,0.464,0.531,74,96,0.771,25,163,188,119,77,10,47,96,974,12,0.548,0.535,0.113,1.4,9.2,5.2,8.6,1.9,0.4,5,20,0.8,0.9,1.7,0.04,-1.2,-1.4,-2.6,-0.3
65,Oscar Tshiebwe,24,IND,PF,8,0,42,10,20,0.5,0,0,,10,20,0.5,0.5,6,8,0.75,8,8,16,2,2,1,0,3,26,24.8,0.553,0,0.4,21.6,21.6,21.6,6.4,2.2,1.9,0,23.5,0.1,0,0.2,0.221,4.5,-2.3,2.2,0
64,P.J. Tucker,38,2TM,PF,31,10,486,18,50,0.36,13,35,0.371,5,15,0.333,0.49,3,3,1,28,57,85,16,16,7,8,54,52,5.9,0.507,0.7,0.06,6.7,12.9,9.8,3.9,1.6,1.3,13.5,5.3,0.2,0.5,0.7,0.068,-4,0.4,-3.6,-0.2
63,Myles Turner,27,IND,C,77,77,2076,476,909,0.524,116,324,0.358,360,585,0.615,0.587,245,317,0.773,113,420,533,100,39,144,109,232,1313,19.3,0.626,0.356,0.349,6.2,22.9,14.5,6.4,0.9,5.5,9.4,23.4,3.6,2.2,5.8,0.134,1,-0.1,0.9,1.5
62,Hunter Tyson,23,DEN,PF,18,0,48,8,20,0.4,4,14,0.286,4,6,0.667,0.5,0,0,,1,8,9,2,1,0,2,10,20,6,0.5,0.7,0,2.4,18,10.4,5.6,1,0,9.1,20,0,0.1,0,0.007,-6.8,-2.1,-8.9,-0.1
61,Stanley Umude,24,DET,SG,24,2,307,37,84,0.44,24,53,0.453,13,31,0.419,0.583,29,32,0.906,8,43,51,11,8,7,14,40,127,11.4,0.647,0.631,0.381,2.9,15.9,9.3,4.9,1.3,2,12.5,15.6,0.3,0.2,0.5,0.085,-1.5,-0.1,-1.6,0
60,Jonas Valan?i?nas,31,NOP,C,82,82,1925,402,719,0.559,37,120,0.308,365,599,0.609,0.585,161,205,0.785,186,535,721,173,32,68,111,218,1002,19.8,0.619,0.167,0.285,10.9,30.6,20.9,13.3,0.8,3.5,12.1,20.8,3.9,3.1,7.1,0.177,0.7,0.5,1.2,1.6
59,Jarred Vanderbilt,24,LAL,PF,29,6,581,59,114,0.518,8,27,0.296,51,87,0.586,0.553,24,36,0.667,41,97,138,36,36,5,28,43,150,11.6,0.578,0.237,0.316,8.3,17.7,13.2,7.7,2.9,0.7,17.7,11.7,0.3,0.8,1.1,0.089,-2.9,1.3,-1.6,0
58,Fred VanVleet,29,HOU,PG,73,73,2684,423,1018,0.416,227,586,0.387,196,432,0.454,0.527,197,229,0.86,33,245,278,589,101,59,126,183,1270,16.7,0.568,0.576,0.225,1.3,9.9,5.6,31.1,1.8,2,10.1,19.7,5.3,3.1,8.4,0.15,2.6,0.8,3.4,3.6
57,Devin Vassell,23,SAS,SG,68,62,2248,498,1056,0.472,166,446,0.372,332,610,0.544,0.55,161,201,0.801,27,234,261,277,73,23,108,74,1323,15.7,0.578,0.422,0.19,1.3,11.3,6.3,19.1,1.5,0.8,8.6,23.5,2,1.6,3.6,0.077,0.9,-0.9,0,1.1
56,Sasha Vezenkov,28,SAC,PF,42,0,511,84,191,0.44,45,120,0.375,39,71,0.549,0.558,12,15,0.8,30,66,96,19,20,7,12,42,225,13.3,0.569,0.628,0.079,6.4,14.8,10.5,5.1,1.9,1.3,5.7,17.5,0.5,0.5,1,0.098,-0.2,-0.7,-0.9,0.1
55,Gabe Vincent,27,LAL,PG,11,0,218,15,49,0.306,3,28,0.107,12,21,0.571,0.337,1,2,0.5,4,5,9,21,9,0,5,19,34,3.1,0.341,0.571,0.041,2.1,2.4,2.3,11.6,2,0,9.1,10.9,-0.3,0.1,-0.1,-0.033,-6.9,0.4,-6.5,-0.2
54,Nikola Vu?evi?,33,CHI,C,76,74,2610,586,1211,0.484,92,313,0.294,494,898,0.55,0.522,106,129,0.822,210,591,801,254,50,60,120,190,1370,17.7,0.54,0.258,0.107,8.8,25.8,17.1,15.2,1,2.4,8.6,23.3,2.7,2.8,5.4,0.1,0.8,-0.7,0.1,1.4
53,Tristan Vukcevic,20,WAS,C,10,4,153,29,67,0.433,10,36,0.278,19,31,0.613,0.507,17,22,0.773,6,30,36,13,5,7,10,28,85,13.9,0.554,0.537,0.328,4.1,21.5,12.6,12.1,1.5,3.7,11.5,23.9,0,0.1,0.1,0.045,-3.5,-0.1,-3.6,-0.1
52,Dean Wade,27,CLE,PF,54,32,1108,96,232,0.414,79,202,0.391,17,30,0.567,0.584,20,26,0.769,37,181,218,43,40,25,20,93,291,10.2,0.598,0.871,0.112,3.8,18.2,11.1,5,1.8,2,7.6,10.5,0.9,1.6,2.5,0.11,-1.7,1.8,0.1,0.6
51,Franz Wagner,22,ORL,SF,72,72,2337,528,1096,0.482,94,334,0.281,434,762,0.57,0.525,271,319,0.85,72,309,381,269,76,28,137,168,1421,17.6,0.575,0.305,0.291,3.6,15.7,9.6,18.8,1.6,1.1,10,25.7,3.1,3.2,6.4,0.131,0.9,0.3,1.2,1.9
50,Moritz Wagner,26,ORL,C,80,1,1415,332,552,0.601,38,115,0.33,294,437,0.673,0.636,166,204,0.814,117,230,347,96,39,21,97,160,868,20.6,0.676,0.208,0.37,9.6,19.3,14.4,11.2,1.4,1.4,13.1,22.8,3.5,2,5.6,0.188,1.7,0.3,2,1.4
49,Ish Wainright,29,2TM,SF,11,0,62,7,24,0.292,7,20,0.35,0,4,0,0.438,2,2,1,3,11,14,1,4,1,2,8,23,8.9,0.462,0.833,0.083,5.8,20.8,12.7,2,3.2,1.5,7.4,18.5,0,0.1,0,0.029,-2.9,0.5,-2.4,0
48,Jabari Walker,21,POR,SF,72,23,1700,234,509,0.46,41,139,0.295,193,370,0.522,0.5,129,171,0.754,151,357,508,71,42,22,66,173,638,13,0.546,0.273,0.336,9.4,25,16.7,6.2,1.2,1.2,10.2,16.3,1.4,1.6,2.9,0.083,-2.4,-0.9,-3.3,-0.6
47,Jarace Walker,20,IND,PF,33,0,340,45,110,0.409,22,55,0.4,23,55,0.418,0.509,8,9,0.889,12,51,63,40,15,11,17,29,120,11.8,0.527,0.5,0.082,4,17,10.5,13.9,2.1,2.6,13,16.1,0.1,0.3,0.4,0.058,-0.5,0.7,0.2,0.2
46,Lonnie Walker IV,25,BRK,SG,58,0,1011,208,492,0.423,104,271,0.384,104,221,0.471,0.528,45,59,0.763,13,114,127,74,32,20,51,71,565,13.1,0.545,0.551,0.12,1.4,12.7,6.9,11.5,1.6,1.8,9,24.4,-0.1,0.9,0.8,0.038,-0.4,-1,-1.4,0.2
45,Cason Wallace,20,OKC,SG,82,13,1692,217,442,0.491,98,234,0.419,119,208,0.572,0.602,29,37,0.784,52,135,187,120,76,37,45,129,561,12,0.612,0.529,0.084,3.6,8.6,6.2,8.9,2.2,2,8.9,12.9,1.9,2.1,4,0.115,-0.9,1,0.1,0.9
44,Jordan Walsh,19,BOS,SF,9,1,83,6,15,0.4,2,9,0.222,4,6,0.667,0.467,1,2,0.5,5,15,20,5,5,1,3,11,15,8.4,0.472,0.6,0.133,6.8,18.7,13,7.2,3,1.1,15.9,9.9,0,0.2,0.2,0.089,-5.6,1.8,-3.8,0
43,T.J. Warren,30,MIN,SF,11,0,125,18,41,0.439,2,13,0.154,16,28,0.571,0.463,3,4,0.75,5,17,22,9,4,1,4,11,41,9.2,0.479,0.317,0.098,4.8,14.8,10,10.1,1.6,0.7,8.6,16.5,0,0.2,0.2,0.06,-5,0.5,-4.5,-0.1
42,P.J. Washington,25,2TM,PF,73,45,2221,354,811,0.436,132,413,0.32,222,398,0.558,0.518,99,145,0.683,85,326,411,141,72,59,96,169,939,12.2,0.537,0.509,0.179,4.2,16.5,10.3,9.3,1.6,2.4,9.9,19.1,0,1.9,1.9,0.04,-1.7,-0.4,-2.1,-0.1
41,TyTy Washington Jr.,22,MIL,PG,11,0,56,6,20,0.3,2,6,0.333,4,14,0.286,0.35,0,0,,1,4,5,5,3,0,2,1,14,4.6,0.35,0.3,0,2,7.7,4.9,11.4,2.6,0,9.1,17,-0.1,0.1,-0.1,-0.072,-7.1,-1,-8.2,-0.1
40,Yuta Watanabe,29,2TM,SF,34,0,464,41,116,0.353,25,85,0.294,16,31,0.516,0.461,10,17,0.588,11,43,54,15,12,7,19,39,117,4.7,0.474,0.733,0.147,2.8,10.1,6.5,4.2,1.3,1.3,13.3,13.3,-0.5,0.4,-0.1,-0.009,-5.3,-1.1,-6.4,-0.5
39,Lindy Waters III,26,OKC,SG,38,0,280,49,104,0.471,37,85,0.435,12,19,0.632,0.649,2,2,1,7,33,40,24,5,7,7,23,137,15.3,0.653,0.817,0.019,2.9,12.6,8,11.5,0.9,2.3,6.3,17.3,0.6,0.3,0.9,0.15,2.4,-0.5,1.9,0.3
38,Trendon Watford,23,BRK,PF,63,2,856,164,311,0.527,27,68,0.397,137,243,0.564,0.571,77,97,0.794,52,142,194,81,23,19,63,106,432,15.7,0.611,0.219,0.312,6.5,18.7,12.4,14.6,1.3,2,15.1,21.1,0.9,0.9,1.8,0.1,-0.9,0.4,-0.5,0.3
37,Peyton Watson,21,DEN,SF,80,4,1488,208,447,0.465,45,152,0.296,163,295,0.553,0.516,71,106,0.67,56,202,258,86,42,88,58,143,532,11.8,0.539,0.34,0.237,4.3,14.6,9.6,7.4,1.4,5,10.5,16.2,0.3,2.2,2.5,0.079,-3,0.8,-2.2,-0.1
36,Victor Wembanyama,20,SAS,C,71,71,2106,551,1186,0.465,128,394,0.325,423,792,0.534,0.519,292,367,0.796,161,594,755,274,88,254,260,153,1522,23.1,0.565,0.332,0.309,8.2,30.7,19.4,21.5,2,10,16.2,32.2,-0.7,4.4,3.7,0.085,1.9,3.3,5.2,3.8
35,Blake Wesley,20,SAS,SG,61,3,876,102,215,0.474,12,55,0.218,90,160,0.563,0.502,52,78,0.667,18,76,94,166,29,9,55,89,268,10.1,0.537,0.256,0.363,2.2,9.5,5.8,25.3,1.6,0.9,18.1,14.7,0.3,0.6,0.9,0.05,-4,0.1,-4,-0.4
34,Russell Westbrook,35,LAC,PG,68,11,1529,301,663,0.454,42,154,0.273,259,509,0.509,0.486,110,160,0.688,93,250,343,306,74,23,144,121,754,16.2,0.514,0.232,0.241,7.1,17.8,12.7,29.2,2.4,1.4,16.4,25.2,0.2,1.9,2.1,0.066,-0.2,0.7,0.5,1
33,Coby White,23,CHI,PG,79,78,2881,541,1209,0.447,209,556,0.376,332,653,0.508,0.534,218,260,0.838,44,314,358,405,53,18,166,186,1509,14.5,0.57,0.46,0.215,1.7,12.4,6.9,20.8,0.9,0.6,11.1,22.7,3.1,1.6,4.7,0.078,0.7,-1.3,-0.7,0.9
32,Derrick White,29,BOS,SG,73,73,2381,387,839,0.461,196,495,0.396,191,344,0.555,0.578,137,152,0.901,51,259,310,377,74,87,112,152,1107,16.9,0.611,0.59,0.181,2.4,11.3,7,21.2,1.5,3.2,11,18.6,5.2,3.3,8.5,0.171,2.4,1.4,3.8,3.5
31,Jack White,26,MEM,SF,4,0,64,2,16,0.125,2,10,0.2,0,6,0,0.188,0,0,,4,8,12,1,4,1,2,3,6,1.1,0.188,0.625,0,6.6,14.2,10.3,2,3.1,1.5,11.1,12.1,-0.2,0.1,-0.1,-0.1,-9.1,-1.2,-10.3,-0.1
30,Cam Whitmore,19,HOU,SF,47,2,880,212,467,0.454,79,220,0.359,133,247,0.538,0.539,76,112,0.679,44,136,180,33,30,17,46,64,579,16.6,0.561,0.471,0.24,5.3,16.7,11,6,1.7,1.8,8.2,27.1,0.4,1.1,1.5,0.082,1,-0.9,0.1,0.5
29,Aaron Wiggins,25,OKC,SG,78,4,1228,212,377,0.562,62,126,0.492,150,251,0.598,0.645,56,71,0.789,60,126,186,86,56,19,56,91,542,15.6,0.664,0.334,0.188,5.7,11,8.4,9.3,2.2,1.4,12.1,16.4,2.1,1.6,3.7,0.144,0.4,0.4,0.7,0.8
28,Andrew Wiggins,28,GSW,SF,71,59,1920,353,780,0.453,91,254,0.358,262,526,0.498,0.511,142,189,0.751,108,213,321,119,42,41,87,147,939,12.7,0.544,0.326,0.242,6.2,11.8,9,8.6,1.1,1.9,9.2,20.9,1.2,1.6,2.8,0.07,-1.4,-1.2,-2.5,-0.3
27,Lindell Wigginton,25,MIL,PG,3,0,8,2,5,0.4,0,2,0,2,3,0.667,0.4,2,2,1,0,0,0,0,0,0,1,1,6,5.6,0.51,0.4,0.4,0,0,0,0,0,0,14.5,37.1,0,0,0,-0.154,-14.6,-9.2,-23.9,0
26,Alondes Williams,24,MIA,SG,7,0,16,2,8,0.25,0,4,0,2,4,0.5,0.25,1,1,1,0,1,1,0,0,1,2,2,5,-7.9,0.296,0.5,0.125,0,7.1,3.5,0,0,6.1,19.2,29.1,-0.1,0,-0.1,-0.357,-17.8,-5.4,-23.2,-0.1
25,Brandon Williams,24,DAL,PG,17,0,113,20,54,0.37,3,15,0.2,17,39,0.436,0.398,11,17,0.647,4,9,13,17,1,1,7,4,54,9.3,0.439,0.278,0.315,3.9,8.7,6.3,20.9,0.4,0.8,10.2,26,-0.2,0.1,-0.1,-0.044,-2.7,-2.8,-5.5,-0.1
24,Grant Williams,25,2TM,PF,76,43,2130,276,605,0.456,126,336,0.375,150,269,0.558,0.56,106,140,0.757,86,232,318,174,44,39,109,226,784,10.6,0.588,0.555,0.231,4.4,12.2,8.3,11.3,1,1.6,14.1,15.9,1.3,1.3,2.6,0.059,-1.9,-0.7,-2.6,-0.3
23,Jalen Williams,22,OKC,PF,71,71,2223,536,993,0.54,103,241,0.427,433,752,0.576,0.592,180,221,0.814,37,245,282,322,80,45,123,175,1355,19.1,0.621,0.243,0.223,1.9,11.8,7.1,21.3,1.7,1.9,10.1,23.7,4.5,2.7,7.3,0.157,2,0.3,2.3,2.4
22,Jaylin Williams,21,OKC,C,69,1,897,95,228,0.417,53,144,0.368,42,84,0.5,0.533,33,41,0.805,36,198,234,110,28,27,34,98,276,12.7,0.561,0.632,0.18,4.7,23.7,14.5,15,1.5,2.8,12.1,13.5,1,1.5,2.4,0.13,-0.8,1.9,1.1,0.7
21,Jeenathan Williams,24,HOU,SG,22,0,129,27,50,0.54,2,5,0.4,25,45,0.556,0.56,7,13,0.538,12,11,23,7,4,1,4,10,63,15.6,0.565,0.1,0.26,9.9,9.2,9.6,8.3,1.5,0.7,6.7,19.7,0.2,0.1,0.3,0.11,-0.8,-0.8,-1.6,0
20,Kenrich Williams,29,OKC,PF,69,1,1029,131,280,0.468,56,141,0.397,75,139,0.54,0.568,7,14,0.5,61,148,209,93,38,9,32,101,325,11.9,0.568,0.504,0.05,6.9,15.4,11.3,11.4,1.8,0.8,10.1,13.4,1.1,1.3,2.5,0.115,-1.1,0.3,-0.8,0.3
19,Malik Williams,25,TOR,C,7,2,107,9,34,0.265,1,5,0.2,8,29,0.276,0.279,0,2,0,15,23,38,2,3,4,3,15,19,4.9,0.272,0.147,0.059,15.1,24.1,19.5,2.4,1.4,3.3,7.9,15.1,-0.3,0.1,-0.2,-0.069,-7.8,-3.7,-11.5,-0.3
18,Mark Williams,22,CHO,C,19,19,508,98,151,0.649,0,0,,98,151,0.649,0.649,46,64,0.719,76,108,184,22,16,20,17,50,242,22.5,0.675,0,0.424,16.3,24.6,20.4,6.8,1.6,3.7,8.7,17.1,1.6,0.5,2.1,0.198,1.6,-0.8,0.8,0.3
17,Patrick Williams,22,CHI,PF,43,30,1174,159,359,0.443,59,148,0.399,100,211,0.474,0.525,52,66,0.788,46,120,166,66,40,33,57,87,429,11,0.553,0.412,0.184,4.3,11.7,7.9,7.7,1.7,2.9,12.8,16.6,0.1,1,1.2,0.048,-2.1,-0.1,-2.3,-0.1
16,Robert Williams,26,POR,C,6,0,119,17,26,0.654,0,0,,17,26,0.654,0.654,7,9,0.778,11,27,38,5,7,7,7,17,41,17.2,0.684,0,0.346,9.8,27,17.9,6.3,2.9,5.3,18.9,13.2,0.2,0.2,0.4,0.144,-2.2,2.9,0.7,0.1
15,Vince Williams Jr.,23,MEM,SG,52,33,1436,169,379,0.446,79,209,0.378,90,170,0.529,0.55,104,130,0.8,59,231,290,175,47,34,92,135,521,12.8,0.597,0.551,0.343,4.3,18.3,11,18,1.6,2.2,17.4,15.8,1.1,1.7,2.8,0.093,-1.7,1,-0.7,0.5
14,Ziaire Williams,22,MEM,SF,51,15,1038,150,378,0.397,58,189,0.307,92,189,0.487,0.474,62,75,0.827,35,145,180,75,36,9,66,85,420,9.3,0.511,0.5,0.198,3.5,15.9,9.5,11.1,1.7,0.8,13.8,19.7,-0.9,1.1,0.2,0.01,-4,-0.4,-4.5,-0.6
13,Zion Williamson,23,NOP,PF,70,70,2207,624,1094,0.57,6,18,0.333,618,1076,0.574,0.573,347,494,0.702,122,284,406,352,77,47,193,159,1601,22.8,0.61,0.016,0.452,6.2,14.2,10.2,26.5,1.7,2.1,12.8,29.7,4.7,2.8,7.5,0.164,3.3,0.6,3.8,3.3
12,D.J. Wilson,27,PHI,PF,2,0,15,4,6,0.667,2,2,1,2,4,0.5,0.833,0,0,,1,1,2,2,0,2,0,1,10,31.6,0.833,0.333,0,7.2,7.5,7.4,22.5,0,12.2,0,17.3,0.1,0,0.1,0.355,15.5,7,22.4,0.1
11,Jalen Wilson,23,BRK,PF,43,3,664,76,179,0.425,24,74,0.324,52,105,0.495,0.492,38,46,0.826,47,84,131,45,11,4,19,48,214,10.8,0.537,0.413,0.257,7.5,14.2,10.8,9.3,0.8,0.5,8.7,14.3,0.6,0.4,1.1,0.077,-1.8,-1.1,-2.9,-0.2
10,Dylan Windler,27,3TM,SF,17,0,108,15,30,0.5,13,27,0.481,2,3,0.667,0.717,0,0,,3,13,16,10,2,0,2,6,43,14.2,0.717,0.9,0,2.9,13.4,8.1,12.3,0.9,0,6.3,12.5,0.3,0,0.3,0.14,1.7,-1,0.7,0.1
9,James Wiseman,22,DET,C,63,6,1091,187,305,0.613,0,2,0,187,303,0.617,0.613,72,102,0.706,110,226,336,54,12,39,66,141,446,14.8,0.637,0.007,0.334,11,23.5,17.2,7.3,0.5,3.1,15.9,16.3,1.3,0.8,2.1,0.094,-2.6,-0.9,-3.5,-0.4
